s,t,target_dim,target_masked_dim,next_dim,signatures,subalgebra_dim,num_new_gens,last_live_sig,rows_consumed,matrix_bytes,wall_us
18,39,22,11,23,1,2,0,-1,0,176,335
14,37,26,14,29,1,2,0,-1,0,208,838
19,40,22,11,23,1,2,0,-1,0,176,233
10,34,39,21,44,1,2,1,0,9,312,487
18,40,23,12,26,1,2,0,-1,0,184,364
5,31,103,17,154,7,8,0,-1,0,2472,1229
15,38,26,14,28,1,2,0,-1,0,208,313
4,31,154,25,197,7,8,0,-1,0,4928,1320
11,35,39,20,44,1,2,1,0,6,312,463
7,32,81,14,103,7,8,0,-1,0,1296,1141
3,31,197,31,144,7,8,0,-1,0,4728,1491
2,35,201,16,58,15,16,0,-1,0,1608,1871
12,36,33,17,42,1,2,0,-1,0,264,478
19,41,23,12,26,1,2,0,-1,0,184,876
8,33,59,9,90,7,8,1,6,13,944,635
13,37,29,15,36,1,2,0,-1,0,232,355
14,38,28,14,31,1,2,0,-1,0,224,213
6,32,103,19,115,7,8,1,6,16,1648,1413
20,41,22,11,23,1,2,0,-1,0,176,1895
15,39,28,14,29,1,2,0,-1,0,224,288
5,32,115,20,168,7,8,0,-1,0,2760,1574
16,39,26,14,28,1,2,0,-1,0,208,1796
20,42,23,12,26,1,2,0,-1,0,184,144
9,34,45,12,65,3,4,1,0,5,720,940
16,40,28,14,29,1,2,0,-1,0,224,264
2,36,214,26,63,15,16,1,13,12,1712,1448
17,40,26,14,28,1,2,0,-1,0,208,415
7,33,91,15,113,7,8,1,6,10,1456,915
4,32,168,29,218,7,8,0,-1,0,5376,2214
18,41,26,14,28,1,2,0,-1,0,208,258
10,35,45,23,50,1,2,1,0,7,360,789
19,42,26,14,28,1,2,0,-1,0,208,248
17,41,28,14,29,1,2,0,-1,0,224,554
8,34,66,12,100,7,8,1,6,8,1056,767
18,42,28,14,29,1,2,0,-1,0,224,292
6,33,113,19,127,7,8,0,-1,0,1808,1572
11,36,43,22,49,1,2,1,0,12,344,553
20,43,26,14,28,1,2,0,-1,0,208,534
